pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
173.195,-73.075,0.0,top,C1,GCM155R71C104KA55J,C_0402_1005Metric,0.1uF,smt,True
183.65,-54.225,-90.0,top,C10,GCM155R71C104KA55J,C_0402_1005Metric,0.1uF,smt,True
184.575,-54.225,-90.0,top,C11,GRM155R61C105KA12D,C_0402_1005Metric,1uF,smt,True
192.46,-65.6,180.0,top,C12,GCM155R71C104KA55J,C_0402_1005Metric,0.1uF,smt,True
192.455,-66.525,180.0,top,C13,GRM155R61C105KA12D,C_0402_1005Metric,1uF,smt,True
184.4,-75.225,90.0,top,C14,GCM155R71C104KA55J,C_0402_1005Metric,0.1uF,smt,True
183.475,-75.225,90.0,top,C15,GRM155R61C105KA12D,C_0402_1005Metric,1uF,smt,True
156.65,-62.15,0.0,top,C18,GRM155R61C105KA12D,C_0402_1005Metric,1uF,smt,True
173.2,-72.125,0.0,top,C2,GRM155R61C105KA12D,C_0402_1005Metric,1uF,smt,True
173.2,-71.15,0.0,top,C3,GCM155R71C104KA55J,C_0402_1005Metric,0.1uF,smt,True
181.7522,-54.229,-90.0,top,C4,GRM155R61C105KA12D,C_0402_1005Metric,1uF,smt,True
182.7022,-54.229,-90.0,top,C5,GCM155R71C104KA55J,C_0402_1005Metric,0.1uF,smt,True
174.62,-53.825,0.0,top,C6,GRM155R71H222JA01J,C_0402_1005Metric,2.2nF,smt,True
174.625,-54.775,0.0,top,C7,GRM155R71H222JA01J,C_0402_1005Metric,2.2nF,smt,True
171.475,-60.2,0.0,top,C8,GRM155R71H222JA01J,C_0402_1005Metric,2.2nF,smt,True
171.455,-61.125,0.0,top,C9,GRM155R71H222JA01J,C_0402_1005Metric,2.2nF,smt,True
156.9,-63.35,180.0,top,D1,ESD5V0D5-TP,D_SOD-523,ESD5Zxx,smt,True
145.675,-70.475,90.0,top,GPIO1,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,I2C,smt,True
213.5824,-70.4804,-90.0,top,GPIO2,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,I2C,smt,True
145.675,-62.625,90.0,top,GPIO3,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,SPI1,smt,True
213.5824,-62.6304,-90.0,top,GPIO4,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,SPI2,smt,True
147.3144,-54.0833,0.0,top,GPIO5,,solderpads,POLLINGPADS,smt,True
160.45,-66.675,0.0,top,H1,,MountingHole_3.2mm_M3,MountingHole,tht,False
198.55,-66.675,0.0,top,H2,,MountingHole_3.2mm_M3,MountingHole,tht,False
161.29,-58.325,90.0,top,J2,3220-10-0300-00,PinHeader_2x05_P1.27mm_Vertical_SMD,Progamming Header,smt,True
179.9978,-54.737,90.0,top,R1,ERJ-1GNF3300C,R_0201_0603Metric,330,smt,True
190.125,-73.955,-90.0,top,R10,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
194.5,-72.775,0.0,top,R11,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
194.5,-72.075,0.0,top,R12,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
194.5,-71.375,0.0,top,R13,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
194.5,-70.65,0.0,top,R14,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
194.5,-69.925,0.0,top,R15,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
194.5,-69.225,0.0,top,R16,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
194.5,-68.5,0.0,top,R17,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
194.48,-67.8,0.0,top,R18,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
194.5,-65.45,0.0,top,R19,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
179.2478,-54.737,90.0,top,R2,ERJ-1GNF3300C,R_0201_0603Metric,330,smt,True
194.5,-64.725,0.0,top,R20,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
194.5,-64.025,0.0,top,R21,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
194.5,-63.325,0.0,top,R22,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
200.55,-59.475,90.0,top,R23,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
199.85,-59.475,90.0,top,R24,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
199.15,-59.475,90.0,top,R25,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
198.45,-59.475,90.0,top,R26,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
197.75,-59.475,90.0,top,R27,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
197.05,-59.475,90.0,top,R28,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
196.325,-59.475,90.0,top,R29,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
185.225,-73.955,-90.0,top,R3,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
195.625,-59.475,90.0,top,R30,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
194.925,-59.475,90.0,top,R31,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
194.225,-59.475,90.0,top,R32,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-58.725,180.0,top,R33,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-59.425,180.0,top,R34,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-61.275,180.0,top,R35,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-61.975,180.0,top,R36,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-62.675,180.0,top,R37,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-63.375,180.0,top,R38,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-64.075,180.0,top,R39,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
185.925,-73.955,-90.0,top,R4,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-64.775,180.0,top,R40,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-65.475,180.0,top,R41,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-66.175,180.0,top,R42,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-66.875,180.0,top,R43,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-67.575,180.0,top,R44,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-68.275,180.0,top,R45,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-68.975,180.0,top,R46,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-69.675,180.0,top,R47,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-70.375,180.0,top,R48,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-71.075,180.0,top,R49,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
186.625,-73.955,-90.0,top,R5,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-71.775,180.0,top,R50,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-72.475,180.0,top,R51,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
168.8,-73.175,180.0,top,R52,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
177.825,-73.625,180.0,top,R53,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
177.825,-74.325,180.0,top,R54,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
177.825,-75.025,180.0,top,R55,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
177.825,-75.725,180.0,top,R56,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
177.825,-76.425,180.0,top,R57,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
177.825,-77.125,180.0,top,R58,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
177.825,-77.825,180.0,top,R59,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
187.325,-73.955,-90.0,top,R6,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
177.825,-78.525,180.0,top,R60,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
177.825,-79.225,180.0,top,R61,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
177.825,-79.925,180.0,top,R62,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
178.9228,-53.577,180.0,top,R63,ERJ-1GNF4701C,R_0201_0603Metric,4.7k,smt,True
180.3228,-53.577,0.0,top,R64,ERJ-1GNF4701C,R_0201_0603Metric,4.7k,smt,True
188.025,-73.955,-90.0,top,R7,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
188.725,-73.955,-90.0,top,R8,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
189.425,-73.955,-90.0,top,R9,ERJ-1GNF5600C,R_0201_0603Metric,560,smt,True
162.049985,-79.622993,0.0,top,TOUCH1,54132-3262,CON_541323262_MOL,FFCHEADER,smt,True
203.2,-53.7,180.0,top,TOUCH2,54132-3262,CON_541323262_MOL,FFCHEADER,smt,True
182.65,-64.5,180.0,top,U1,CY8C4149AZI-S598,QFP-100,CY8C4149AZI-S598,smt,True
